"Código";"Artículo";"Descripción";"Descripción"
"00B1EXL030";"34-1";"VERDE";"XL"
"00B1EXL051";"34-1";"FRANCIA";"XL"
"00B1EXL069";"34-1";"FLAMINGO";"XL"
"00B1EXL084";"34-1";"FLUO";"XL"
"00B1EXL605";"34-1";"MALVA";"XL"
"00B1LAR002";"34-1";"NEGRO";"L"
"00B1LAR030";"34-1";"VERDE";"L"
"00B1LAR051";"34-1";"FRANCIA";"L"
"00B1LAR084";"34-1";"FLUO";"L"
"00B1LAR605";"34-1";"MALVA";"L"
"00B1MED002";"34-1";"NEGRO";"M"
"00B1MED030";"34-1";"VERDE";"M"
"00B1MED051";"34-1";"FRANCIA";"M"
"00B1MED084";"34-1";"FLUO";"M"
"00B1SMA002";"34-1";"NEGRO";"S"
"00B1SMA051";"34-1";"FRANCIA";"S"
"00B1SMA084";"34-1";"FLUO";"S"
"00B1SMA605";"34-1";"MALVA";"S"
"00B6EXL001";"34-6";"BLANCO";"XL"
"00B6EXL002";"34-6";"NEGRO";"XL"
"00B6LAR001";"34-6";"BLANCO";"L"
"00B6LAR002";"34-6";"NEGRO";"L"
"00B6MED001";"34-6";"BLANCO";"M"
"00B6MED002";"34-6";"NEGRO";"M"
"00B6SMA001";"34-6";"BLANCO";"S"
"00B6SMA002";"34-6";"NEGRO";"S"
"00B8EXL002";"34-8";"NEGRO";"XL"
"00B8EXL055";"34-8";"PINK";"XL"
"00B8EXL068";"34-8";"LIMA";"XL"
"00B8LAR002";"34-8";"NEGRO";"L"
"00B8LAR055";"34-8";"PINK";"L"
"00B8LAR061";"34-8";"BLUE";"L"
"00B8LAR068";"34-8";"LIMA";"L"
"00B8MED002";"34-8";"NEGRO";"M"
"00B8MED055";"34-8";"PINK";"M"
"00B8MED061";"34-8";"BLUE";"M"
"00B8SMA055";"34-8";"PINK";"S"
"00B8SMA061";"34-8";"BLUE";"S"
"00B8SMA068";"34-8";"LIMA";"S"
"00B9EXL002";"34-9";"NEGRO";"XL"
"00B9EXL122";"34-9";"Africa";"XL"
"00B9EXL605";"34-9";"MALVA";"XL"
"00B9LAR002";"34-9";"NEGRO";"L"
"00B9LAR122";"34-9";"Africa";"L"
"00B9LAR605";"34-9";"MALVA";"L"
"00B9MED002";"34-9";"NEGRO";"M"
"00B9MED122";"34-9";"Africa";"M"
"00B9MED605";"34-9";"MALVA";"M"
"00B9SMA002";"34-9";"NEGRO";"S"
"00B9SMA605";"34-9";"MALVA";"S"
"00G5EXL013";"34-5";"MELANGE";"XL"
"00G5EXL016";"34-5";"MARINO";"XL"
"00G5EXL064";"34-5";"TOPO";"XL"
"00G5LAR013";"34-5";"MELANGE";"L"
"00G5LAR016";"34-5";"MARINO";"L"
"00G5LAR064";"34-5";"TOPO";"L"
"00G5MED016";"34-5";"MARINO";"M"
"00G5MED064";"34-5";"TOPO";"M"
"00G5SMA016";"34-5";"MARINO";"S"
"00b1med605";"34-1";"MALVA";"M"
"00b8sma002";"34-8";"NEGRO";"S"
"00b9exl005";"34-9";"CORAL";"XL"
"00b9exl045";"34-9";"MORA";"XL"
"00b9exl063";"34-9";"BLACK";"XL"
"00b9exl455";"34-9";"WATER";"XL"
"00b9exl539";"34-9";"GOLD";"XL"
"00b9lar005";"34-9";"CORAL";"L"
"00b9lar045";"34-9";"MORA";"L"
"00b9lar063";"34-9";"BLACK";"L"
"00b9lar455";"34-9";"WATER";"L"
"00b9lar539";"34-9";"GOLD";"L"
"00b9med005";"34-9";"CORAL";"M"
"00b9med045";"34-9";"MORA";"M"
"00b9med063";"34-9";"BLACK";"M"
"00b9med455";"34-9";"WATER";"M"
"00b9med539";"34-9";"GOLD";"M"
"00b9sma005";"34-9";"CORAL";"S"
"00b9sma045";"34-9";"MORA";"S"
"00b9sma063";"34-9";"BLACK";"S"
"00b9sma455";"34-9";"WATER";"S"
"00b9sma539";"34-9";"GOLD";"S"
"00g5exl002";"34-5";"NEGRO";"XL"
"00g5lar002";"34-5";"NEGRO";"L"
"00g5med002";"34-5";"NEGRO";"M"
"00g5med013";"34-5";"MELANGE";"M"
"00g5sma002";"34-5";"NEGRO";"S"
"00g5sma013";"34-5";"MELANGE";"S"
"01000010100000";"38-1000";"BLANCO";"100"
"01000010105000";"38-1000";"BLANCO";"105"
"01000010110000";"38-1000";"BLANCO";"110"
"01000010115000";"38-1000";"BLANCO";"115"
"01000010120000";"38-1000";"BLANCO";"120"
"01000010950000";"38-1000";"BLANCO";"95"
"01000030100000";"38-1000";"NEGRO";"100"
"01000030105000";"38-1000";"NEGRO";"105"
"01000030110000";"38-1000";"NEGRO";"110"
"01000030115000";"38-1000";"NEGRO";"115"
"01000030120000";"38-1000";"NEGRO";"120"
"01000030950000";"38-1000";"NEGRO";"95"
"01000053010000";"38-1000";"NATURAL";"100"
"01000053010500";"38-1000";"NATURAL";"105"
"01000053011000";"38-1000";"NATURAL";"110"
"01000053011500";"38-1000";"NATURAL";"115"
"01000053012000";"38-1000";"NATURAL";"120"
"01000053095000";"38-1000";"NATURAL";"95"
"01000304000000";"38-100";"SURTIDO";"M"
"01001030000000";"38-10";"NEGRO";"L"
"010023000001";"29-S23";"SURTIDO";"UNICO"
"01003010000000";"38-10";"NEGRO";"S"
"01003020000000";"38-10";"NEGRO";"M"
"01003040000000";"38-10";"NEGRO";"XL"
"01003050000000";"38-10";"NEGRO";"XXL"
"01005801000000";"38-10";"MARINO";"S"
"01005802000000";"38-10";"MARINO";"M"
"01005803000000";"38-10";"MARINO";"L"
"01005804000000";"38-10";"MARINO";"XL"
"01005805000000";"38-10";"MARINO";"XXL"
"01007801000000";"38-10";"GRIS MELANGE";"S"
"01007802000000";"38-10";"GRIS MELANGE";"M"
"01007803000000";"38-10";"GRIS MELANGE";"L"
"01007804000000";"38-10";"GRIS MELANGE";"XL"
"01007805000000";"38-10";"GRIS MELANGE";"XXL"
"0100800101";"18-1008";"BLANCO";"1"
"0100800103";"18-1008";"NEGRO";"1"
"0100800201";"18-1008";"BLANCO";"2"
"0100800203";"18-1008";"NEGRO";"2"
"0100800301";"18-1008";"BLANCO";"3"
"0100800303";"18-1008";"NEGRO";"3"
"0100800401";"18-1008";"BLANCO";"4"
"0100800403";"18-1008";"NEGRO";"4"
"0100900103";"18-1009";"NEGRO";"1"
"0100900203";"18-1009";"NEGRO";"2"
"0100900303";"18-1009";"NEGRO";"3"
"0100900403";"18-1009";"NEGRO";"4"
"01010172000000";"38-101";"SURTIDO";"UNICO"
"010201410002";"27-2014";"BLANCO";"100"
"01020304000000";"38-102";"SURTIDO";"M"
"01020305000000";"38-102";"SURTIDO";"L"
"01020306000000";"38-102";"SURTIDO";"XL"
"01030010100000";"38-1030";"BLANCO";"100"
"01030010105000";"38-1030";"BLANCO";"105"
"01030010110000";"38-1030";"BLANCO";"110"
"01030010115000";"38-1030";"BLANCO";"115"
"01030010120000";"38-1030";"BLANCO";"120"
"01030010125000";"38-1030";"BLANCO";"125"
"01030010950000";"38-1030";"BLANCO";"95"
"01030020115000";"38-1030";"HUESO";"115"
"01030020950000";"38-1030";"HUESO";"95"
"01030030100000";"38-1030";"NEGRO";"100"
"01030030105000";"38-1030";"NEGRO";"105"
"01030030110000";"38-1030";"NEGRO";"110"
"01030030115000";"38-1030";"NEGRO";"115"
"01030030120000";"38-1030";"NEGRO";"120"
"01030030125000";"38-1030";"NEGRO";"125"
"01030030950000";"38-1030";"NEGRO";"95"
"01030068010000";"38-1030";"VISON";"100"
"01030068010500";"38-1030";"VISON";"105"
"01030068011000";"38-1030";"VISON";"110"
"01030068011500";"38-1030";"VISON";"115"
"01030068012000";"38-1030";"VISON";"120"
"01030068012500";"38-1030";"VISON";"125"
"01030068095000";"38-1030";"VISON";"95"
"010301309062";"27-3013";"AZUL NOCHE";"90"
"010301310061";"27-3013";"GRIS MELANGE";"100"
"01057010100000";"38-1057";"BLANCO";"1"
"01057010200000";"38-1057";"BLANCO";"2"
"01057010300000";"38-1057";"BLANCO";"3"
"01057010400000";"38-1057";"BLANCO";"4"
"01057010500000";"38-1057";"BLANCO";"5"
"01057032101000";"38-1057";"MELANGE";"1"
"01057032102000";"38-1057";"MELANGE";"2"
"01057032103000";"38-1057";"MELANGE";"3"
"01057032104000";"38-1057";"MELANGE";"4"
"01057032105000";"38-1057";"MELANGE";"5"
"01057071030000";"38-1057";"BLANCO";"3"
"01057078040000";"38-1057";"GRIS MELANGE";"4"
"01057078050000";"38-1057";"GRIS MELANGE";"5"
"01060010100000";"38-1060";"BLANCO";"100"
"01060010105000";"38-1060";"BLANCO";"105"
"01060010110000";"38-1060";"BLANCO";"110"
"01060010115000";"38-1060";"BLANCO";"115"
"01060010120000";"38-1060";"BLANCO";"120"
"01060010950000";"38-1060";"BLANCO";"95"
"01060020100000";"38-1060";"HUESO";"100"
"01060020105000";"38-1060";"HUESO";"105"
"01060020110000";"38-1060";"HUESO";"110"
"01060020115000";"38-1060";"HUESO";"115"
"01060020120000";"38-1060";"HUESO";"120"
"01060020950000";"38-1060";"HUESO";"95"
"01060030100000";"38-1060";"NEGRO";"100"
"01060030105000";"38-1060";"NEGRO";"105"
"01060030110000";"38-1060";"NEGRO";"110"
"01060030115000";"38-1060";"NEGRO";"115"
"01060030120000";"38-1060";"NEGRO";"120"
"01060030950000";"38-1060";"NEGRO";"95"
"01060068011500";"38-1060";"VISON";"115"
"01068010080000";"38-1068";"ROSA";"80"
"01068010085000";"38-1068";"ROSA";"85"
"01068010090000";"38-1068";"ROSA";"90"
"01068010095000";"38-1068";"ROSA";"95"
"01068027080000";"38-1068";"BORDO";"80"
"01068027085000";"38-1068";"BORDO";"85"
"01068027090000";"38-1068";"BORDO";"90"
"01068027095000";"38-1068";"BORDO";"95"
"01068060800000";"38-1068";"GRIS";"80"
"01068060850000";"38-1068";"GRIS";"85"
"01068060900000";"38-1068";"GRIS";"90"
"01068060950000";"38-1068";"GRIS";"95"
"01070010100000";"38-1070";"BLANCO";"100"
"01070010105000";"38-1070";"BLANCO";"105"
"01070010110000";"38-1070";"BLANCO";"110"
"01070010115000";"38-1070";"BLANCO";"115"
"01070010120000";"38-1070";"BLANCO";"120"
"01070010950000";"38-1070";"BLANCO";"95"
"01070020100000";"38-1070";"HUESO";"100"
"01070020105000";"38-1070";"HUESO";"105"
"01070020110000";"38-1070";"HUESO";"110"
"01070020115000";"38-1070";"HUESO";"115"
"01070020120000";"38-1070";"HUESO";"120"
"01070020950000";"38-1070";"HUESO";"95"
"01070030100000";"38-1070";"NEGRO";"100"
"01070030105000";"38-1070";"NEGRO";"105"
"01070030110000";"38-1070";"NEGRO";"110"
"01070030115000";"38-1070";"NEGRO";"115"
"01070030120000";"38-1070";"NEGRO";"120"
"01070030950000";"38-1070";"NEGRO";"95"
"01080033109500";"38-1080";"VERDE AGUA";"95"
"01080058010000";"38-1080";"MARINO";"100"
"01080058010500";"38-1080";"MARINO";"105"
"01080058011000";"38-1080";"MARINO";"110"
"01080058011500";"38-1080";"MARINO";"115"
"01080058012000";"38-1080";"MARINO";"120"
"01080058095000";"38-1080";"MARINO";"95"
"01080060100000";"38-1080";"GRIS";"100"
"01080060105000";"38-1080";"GRIS";"105"
"01080060110000";"38-1080";"GRIS";"110"
"01080060115000";"38-1080";"GRIS";"115"
"01080060120000";"38-1080";"GRIS";"120"
"01080060950000";"38-1080";"GRIS";"95"
"01080068010000";"38-1080";"VISON";"100"
"01080068010500";"38-1080";"VISON";"105"
"01080068011000";"38-1080";"VISON";"110"
"01080068011500";"38-1080";"VISON";"115"
"01080068012000";"38-1080";"VISON";"120"
"01080068095000";"38-1080";"VISON";"95"
"01080090100000";"38-1080";"FUCSIA";"100"
"01080090105000";"38-1080";"FUCSIA";"105"
"01080090110000";"38-1080";"FUCSIA";"110"
"01080090115000";"38-1080";"FUCSIA";"115"
"01080090120000";"38-1080";"FUCSIA";"120"
"01080090950000";"38-1080";"FUCSIA";"95"
"011000401500";"52-40";"NEGRO/VERDE";"XL"
"011000401600";"52-40";"NEGRO/VERDE";"XXL"
"011000402000";"52-40";"NEGRO/VERDE";"L"
"011000431501";"52-43";"NEGRO";"XL"
"011000431601";"52-43";"NEGRO";"XXL"
"011000432001";"52-43";"NEGRO";"L"
"011000441502";"52-44";"BLANCO";"XL"
"011000441602";"52-44";"BLANCO";"XXL"
"011000442002";"52-44";"BLANCO";"L"
"011000481561";"52-48";"GRIS MELANGE";"XL"
"011000481661";"52-48";"GRIS MELANGE";"XXL"
"011000482061";"52-48";"GRIS MELANGE";"L"
"0110005808571";"27-061";"UVA";"85"
"0110005809071";"27-061";"UVA";"90"
"0110005809571";"27-061";"UVA";"95"
"0110005810071";"27-061";"UVA";"100"
"0110006000080";"27-064";"SURTIDO";"UNICO"
"0110006209071";"27-062";"UVA";"90"
"0110006209571";"27-062";"UVA";"95"
"0110006210071";"27-062";"UVA";"100"
"0110006308571";"27-063";"UVA";"85"
"0110006309071";"27-063";"UVA";"90"
"0110006309571";"27-063";"UVA";"95"
"0110006310071";"27-063";"UVA";"100"
"0110010000000";"27-100";"SURTIDO";"UNICO"
"0110010000080";"27-100";"SURTIDO";"UNICO"
"0110010000081";"27-100";"SURTIDO";"UNICO"
"0110011100046";"27-111";"NEGRO/BORDO";"UNICO"
"0110011100047";"27-111";"BLANCO/BORDO";"UNICO"
"0110011100048";"27-111";"BLANCO/LILA";"UNICO"
"0110011100049";"27-111";"AZUL/LILA";"UNICO"
"0110011100050";"27-111";"NEGRO/AZUL";"UNICO"
"0110011100051";"27-111";"NEGRO/BLANCO";"UNICO"
"0110011100052";"27-111";"AZUL/BORDO";"UNICO"
"0110011100053";"27-111";"NEGRO/LILA";"UNICO"
"0110011100054";"27-111";"BLANCO/AZUL";"UNICO"
"0110011100055";"27-111";"BORDO/LILA";"UNICO"
"011001120456";"27-112";"ACUA/LILA";"4"
"011001120656";"27-112";"ACUA/LILA";"6"
"011001120858";"27-112";"GRIS/LILA";"8"
"011001121057";"27-112";"ROSA/GRIS";"10"
"011001130456";"27-113";"ACUA/LILA";"4"
"011001130656";"27-113";"ACUA/LILA";"6"
"011001130858";"27-113";"GRIS/LILA";"8"
"011001131057";"27-113";"ROSA/GRIS";"10"
"0110020000000";"27-200";"SURTIDO";"UNICO"
"0110030000000";"27-300";"SURTIDO";"UNICO"
"0110030100000";"27-301";"SURTIDO";"UNICO"
"0110030100080";"27-301";"SURTIDO";"UNICO"
"0110030200080";"27-302";"SURTIDO";"UNICO"
"0110030200081";"27-302";"SURTIDO";"UNICO"
"0110060100081";"27-601";"SURTIDO";"UNICO"
"0110100008501";"27-1000";"NEGRO";"85"
"0110100008502";"27-1000";"BLANCO";"85"
"0110100008503";"27-1000";"ROJO";"85"
"0110100008505";"27-1000";"NEGRO/ROJO";"85"
"0110100008507";"27-1000";"MARFIL";"85"
"0110100008520";"27-1000";"AVELLANA";"85"
"0110100008532";"27-1000";"VERDE MILITAR";"85"
"0110100008533";"27-1000";"MORADO";"85"
"0110100009001";"27-1000";"NEGRO";"90"
"0110100009002";"27-1000";"BLANCO";"90"
"0110100009003";"27-1000";"ROJO";"90"
"0110100009005";"27-1000";"NEGRO/ROJO";"90"
"0110100009007";"27-1000";"MARFIL";"90"
"0110100009020";"27-1000";"AVELLANA";"90"
"0110100009032";"27-1000";"VERDE MILITAR";"90"
"0110100009033";"27-1000";"MORADO";"90"
"0110100009501";"27-1000";"NEGRO";"95"
"0110100009502";"27-1000";"BLANCO";"95"
"0110100009503";"27-1000";"ROJO";"95"
"0110100009505";"27-1000";"NEGRO/ROJO";"95"
"0110100009507";"27-1000";"MARFIL";"95"
"0110100009520";"27-1000";"AVELLANA";"95"
"0110100009532";"27-1000";"VERDE MILITAR";"95"
"0110100009533";"27-1000";"MORADO";"95"
"0110100010001";"27-1000";"NEGRO";"100"
"0110100010002";"27-1000";"BLANCO";"100"
"0110100010003";"27-1000";"ROJO";"100"
"0110100010005";"27-1000";"NEGRO/ROJO";"100"
"0110100010007";"27-1000";"MARFIL";"100"
"0110100010020";"27-1000";"AVELLANA";"100"
"0110100010032";"27-1000";"VERDE MILITAR";"100"
"0110100010033";"27-1000";"MORADO";"100"
"0110100108501";"27-1001";"NEGRO";"85"
"0110100108502";"27-1001";"BLANCO";"85"
"0110100108503";"27-1001";"ROJO";"85"
"0110100108563";"27-1001";"ROSA VINTAGE";"85"
"0110100108571";"27-1001";"UVA";"85"
"0110100108572";"27-1001";"FUCSIA";"85"
"0110100109001";"27-1001";"NEGRO";"90"
"0110100109002";"27-1001";"BLANCO";"90"
"0110100109003";"27-1001";"ROJO";"90"
"0110100109007";"27-1001";"MARFIL";"90"
"0110100109020";"27-1001";"AVELLANA";"90"
"0110100109032";"27-1001";"VERDE MILITAR";"90"
"0110100109033";"27-1001";"MORADO";"90"
"0110100109063";"27-1001";"ROSA VINTAGE";"90"
"0110100109071";"27-1001";"UVA";"90"
"0110100109072";"27-1001";"FUCSIA";"90"
"0110100109501";"27-1001";"NEGRO";"95"
"0110100109502";"27-1001";"BLANCO";"95"
"0110100109503";"27-1001";"ROJO";"95"
"0110100109507";"27-1001";"MARFIL";"95"
"0110100109520";"27-1001";"AVELLANA";"95"
"0110100109532";"27-1001";"VERDE MILITAR";"95"
"0110100109533";"27-1001";"MORADO";"95"
"0110100109563";"27-1001";"ROSA VINTAGE";"95"
"0110100109571";"27-1001";"UVA";"95"
"0110100109572";"27-1001";"FUCSIA";"95"
"0110100110001";"27-1001";"NEGRO";"100"
"0110100110002";"27-1001";"BLANCO";"100"
"0110100110003";"27-1001";"ROJO";"100"
"0110100110007";"27-1001";"MARFIL";"100"
"0110100110020";"27-1001";"AVELLANA";"100"
"0110100110032";"27-1001";"VERDE MILITAR";"100"
"0110100110033";"27-1001";"MORADO";"100"
"0110100110063";"27-1001";"ROSA VINTAGE";"100"
"0110100110071";"27-1001";"UVA";"100"
"0110100308501";"27-1003";"NEGRO";"85"
"0110100308502";"27-1003";"BLANCO";"85"
"0110100308503";"27-1003";"ROJO";"85"
"0110100308507";"27-1003";"MARFIL";"85"
"0110100308520";"27-1003";"AVELLANA";"85"
"0110100308563";"27-1003";"ROSA VINTAGE";"85"
"0110100308571";"27-1003";"UVA";"85"
"0110100308572";"27-1003";"FUCSIA";"85"
"0110100309001";"27-1003";"NEGRO";"90"
"0110100309002";"27-1003";"BLANCO";"90"
"0110100309003";"27-1003";"ROJO";"90"
"0110100309007";"27-1003";"MARFIL";"90"
"0110100309020";"27-1003";"AVELLANA";"90"
"0110100309063";"27-1003";"ROSA VINTAGE";"90"
"0110100309071";"27-1003";"UVA";"90"
"0110100309072";"27-1003";"FUCSIA";"90"
"0110100309501";"27-1003";"NEGRO";"95"
"0110100309502";"27-1003";"BLANCO";"95"
"0110100309503";"27-1003";"ROJO";"95"
"0110100309507";"27-1003";"MARFIL";"95"
"0110100309520";"27-1003";"AVELLANA";"95"
"0110100309563";"27-1003";"ROSA VINTAGE";"95"
"0110100309571";"27-1003";"UVA";"95"
"0110100309572";"27-1003";"FUCSIA";"95"
"0110100310001";"27-1003";"NEGRO";"100"
"0110100310002";"27-1003";"BLANCO";"100"
"0110100310003";"27-1003";"ROJO";"100"
"0110100310007";"27-1003";"MARFIL";"100"
"0110100310020";"27-1003";"AVELLANA";"100"
"0110100310063";"27-1003";"ROSA VINTAGE";"100"
"0110100310071";"27-1003";"UVA";"100"
"0110100310072";"27-1003";"FUCSIA";"100"
"0110100408501";"27-1004";"NEGRO";"85"
"0110100408502";"27-1004";"BLANCO";"85"
"0110100408563";"27-1004";"ROSA VINTAGE";"85"
"0110100408571";"27-1004";"UVA";"85"
"0110100408584";"27-1004";"LIMA";"85"
"0110100409001";"27-1004";"NEGRO";"90"
"0110100409002";"27-1004";"BLANCO";"90"
"0110100409063";"27-1004";"ROSA VINTAGE";"90"
"0110100409071";"27-1004";"UVA";"90"
"0110100409072";"27-1004";"FUCSIA";"90"
"0110100409084";"27-1004";"LIMA";"90"
"0110100409501";"27-1004";"NEGRO";"95"
"0110100409502";"27-1004";"BLANCO";"95"
"0110100409563";"27-1004";"ROSA VINTAGE";"95"
"0110100409571";"27-1004";"UVA";"95"
"0110100410001";"27-1004";"NEGRO";"100"
"0110100410002";"27-1004";"BLANCO";"100"
"0110100410063";"27-1004";"ROSA VINTAGE";"100"
"0110100410071";"27-1004";"UVA";"100"
"0110100410072";"27-1004";"FUCSIA";"100"
"0110100508501";"27-1005";"NEGRO";"85"
"0110100508502";"27-1005";"BLANCO";"85"
"0110100509001";"27-1005";"NEGRO";"90"
"0110100509002";"27-1005";"BLANCO";"90"
