id,marca,nombre,codigo,desc,familia,talles,precio_uno,precio_tres,precio_cantidad
PROMO_MEDIAS_COCOT_DUFOUR_ZAILU_RIO,MEDIAS,PROMO MEDIAS COCOT-DUFOUR-ZAILU-RIO,40-3036.3,MEDIAS COCOT-DUFOUR-ZAILU-RIO,MEDIAS,UNICO,2500,5000,5000
PROMO_MEDIAS_COCOT_DUFOUR_ZAILU_RIO,MEDIAS,PROMO MEDIAS COCOT-DUFOUR-ZAILU-RIO,40-3223.3,MEDIAS COCOT-DUFOUR-ZAILU-RIO,MEDIAS,UNICO,2500,5000,5000
PROMO_MEDIAS_COCOT_DUFOUR_ZAILU_RIO,MEDIAS,PROMO MEDIAS COCOT-DUFOUR-ZAILU-RIO,40-3253.3,MEDIAS COCOT-DUFOUR-ZAILU-RIO,MEDIAS,UNICO,2500,5000,5000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4150,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-420,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4204,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4206,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4161,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4209,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4213,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4156,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4151,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4246,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4237,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4238,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4239,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4240,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4241,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4242,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4247,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4163,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4243,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_MK_DISC,MK,PROMO PIJAMAS INV MK DISC,28-4152,PIJAMAS INV MK DISC,PIJAMAS,UNICO,36000,72000,24000
PROMO_PIJAMAS_INV_ANDRESSA_20000,ANDRESSA,PROMO PIJAMAS INV ANDRESSA,05-8011,PIJAMAS INV ANDRESSA,PIJAMAS,UNICO,20000,20000,20000
